State,GWL,Threshold,ffdi_Median_mean,ffdi_Median_p10,ffdi_Median_p50,ffdi_Median_p90,ffdi_Median_std
New South Wales,2,50,7.578,0.0,7.775,16.95,6.374
Northern Territory,2,50,21.09,3.125,21.125,34.55,10.741
Queensland,2,50,10.51,0.15,10.74,23.24,8.91
South Australia,2,50,20.36,7.325,22.125,28.3,7.774
Tasmania,2,50,0.0,0.0,0.0,0.0,0.019
Victoria,2,50,2.782,0.0,1.325,8.099,3.01
Western Australia,2,50,29.12,8.25,30.84,43.85,12.52
New South Wales,3,50,12.69,0.325,13.075,26.5,9.396
Northern Territory,3,50,29.484,9.375,33.825,44.4,14.061
Queensland,3,50,16.98,0.713,17.0,33.088,12.198
South Australia,3,50,28.674,11.9,30.825,40.0,11.096
Tasmania,3,50,0.004,0.0,0.0,0.0,0.025
Victoria,3,50,4.046,0.025,2.7,11.775,4.281
Western Australia,3,50,36.53,12.0,39.44,52.05,13.91
New South Wales,1.5,50,5.476,0.05,5.375,11.9,4.531
Northern Territory,1.5,50,15.898,2.875,16.575,27.7,9.014
Queensland,1.5,50,8.21,0.213,6.625,18.1,7.035
South Australia,1.5,50,15.952,5.575,17.475,22.35,6.382
Tasmania,1.5,50,0.001,0.0,0.0,0.0,0.01
Victoria,1.5,50,1.818,0.0,0.775,5.125,1.998
Western Australia,1.5,50,22.43,5.54,24.66,33.36,9.82
New South Wales,2,75,1.5,0.0,0.95,4.0,1.66
Northern Territory,2,75,3.17,0.0,2.85,8.125,3.305
Queensland,2,75,1.75,0.0,0.96,4.56,1.88
South Australia,2,75,5.461,1.175,5.925,8.15,2.528
Tasmania,2,75,0.0,0.0,0.0,0.0,0.0
Victoria,2,75,0.428,0.0,0.1,1.675,0.751
Western Australia,2,75,8.35,0.8,7.91,16.05,5.6
New South Wales,3,75,3.013,0.0,2.475,7.025,2.732
Northern Territory,3,75,9.204,0.25,10.55,17.9,6.82
Queensland,3,75,4.06,0.01,2.53,10.05,4.15
South Australia,3,75,10.258,2.525,11.45,15.325,4.544
Tasmania,3,75,0.0,0.0,0.0,0.0,0.0
Victoria,3,75,0.862,0.0,0.45,2.5,1.056
Western Australia,3,75,15.11,1.61,16.2,26.3,9.08
New South Wales,1.5,75,1.016,0.0,0.55,2.7,1.077
Northern Territory,1.5,75,2.128,0.0,2.033,4.575,1.881
Queensland,1.5,75,1.01,0.0,0.42,2.6,1.3
South Australia,1.5,75,4.238,0.85,4.525,6.875,2.146
Tasmania,1.5,75,0.0,0.0,0.0,0.0,0.0
Victoria,1.5,75,0.256,0.0,0.075,0.85,0.4
Western Australia,1.5,75,5.05,0.44,5.72,10.54,3.73
