abbrevs,region,names,ffdi_Median_mean_gwl2,ffdi_Median_p10_gwl2,ffdi_Median_p50_gwl2,ffdi_Median_p90_gwl2,ffdi_Median_std_gwl2,source_file,ffdi_Median_mean_gwl3,ffdi_Median_p10_gwl3,ffdi_Median_p50_gwl3,ffdi_Median_p90_gwl3,ffdi_Median_std_gwl3,ffdi_Median_mean_gwl15,ffdi_Median_p10_gwl15,ffdi_Median_p50_gwl15,ffdi_Median_p90_gwl15,ffdi_Median_std_gwl15
NSW,2,New South Wales and Australian Capital Territory,7.578,0.0,7.775,16.95,6.374,ffdi_ndays_exceeding_50_allstats_gwl2_abschangeGWL12_ncra_reg.csv,,,,,,,,,,
NT,6,Northern Territory,21.09,3.125,21.125,34.55,10.741,ffdi_ndays_exceeding_50_allstats_gwl2_abschangeGWL12_ncra_reg.csv,,,,,,,,,,
QLDNorth,7,Queensland North,6.294,0.0,4.3,16.05,6.758,ffdi_ndays_exceeding_50_allstats_gwl2_abschangeGWL12_ncra_reg.csv,,,,,,,,,,
QLDSouth,8,Queensland South,14.733,0.3,17.175,30.425,11.061,ffdi_ndays_exceeding_50_allstats_gwl2_abschangeGWL12_ncra_reg.csv,,,,,,,,,,
SA,4,South Australia,20.36,7.325,22.125,28.3,7.774,ffdi_ndays_exceeding_50_allstats_gwl2_abschangeGWL12_ncra_reg.csv,,,,,,,,,,
TAS,5,Tasmania,0.0,0.0,0.0,0.0,0.019,ffdi_ndays_exceeding_50_allstats_gwl2_abschangeGWL12_ncra_reg.csv,,,,,,,,,,
VIC,3,Victoria,2.782,0.0,1.325,8.099,3.01,ffdi_ndays_exceeding_50_allstats_gwl2_abschangeGWL12_ncra_reg.csv,,,,,,,,,,
WANorth,0,Western Australia North,34.332,9.875,37.775,46.925,12.917,ffdi_ndays_exceeding_50_allstats_gwl2_abschangeGWL12_ncra_reg.csv,,,,,,,,,,
WASouth,1,Western Australia South,23.902,6.625,23.9,40.775,12.122,ffdi_ndays_exceeding_50_allstats_gwl2_abschangeGWL12_ncra_reg.csv,,,,,,,,,,
NSW,2,New South Wales and Australian Capital Territory,,,,,,ffdi_ndays_exceeding_50_allstats_gwl3_abschangeGWL12_ncra_reg.csv,12.69,0.325,13.075,26.5,9.396,,,,,
NT,6,Northern Territory,,,,,,ffdi_ndays_exceeding_50_allstats_gwl3_abschangeGWL12_ncra_reg.csv,29.484,9.375,33.825,44.4,14.061,,,,,
QLDNorth,7,Queensland North,,,,,,ffdi_ndays_exceeding_50_allstats_gwl3_abschangeGWL12_ncra_reg.csv,11.854,0.025,8.525,26.225,10.213,,,,,
QLDSouth,8,Queensland South,,,,,,ffdi_ndays_exceeding_50_allstats_gwl3_abschangeGWL12_ncra_reg.csv,22.104,1.4,25.475,39.95,14.184,,,,,
SA,4,South Australia,,,,,,ffdi_ndays_exceeding_50_allstats_gwl3_abschangeGWL12_ncra_reg.csv,28.674,11.9,30.825,40.0,11.096,,,,,
TAS,5,Tasmania,,,,,,ffdi_ndays_exceeding_50_allstats_gwl3_abschangeGWL12_ncra_reg.csv,0.004,0.0,0.0,0.0,0.025,,,,,
VIC,3,Victoria,,,,,,ffdi_ndays_exceeding_50_allstats_gwl3_abschangeGWL12_ncra_reg.csv,4.046,0.025,2.7,11.775,4.281,,,,,
WANorth,0,Western Australia North,,,,,,ffdi_ndays_exceeding_50_allstats_gwl3_abschangeGWL12_ncra_reg.csv,41.323,13.775,45.45,55.8,13.901,,,,,
WASouth,1,Western Australia South,,,,,,ffdi_ndays_exceeding_50_allstats_gwl3_abschangeGWL12_ncra_reg.csv,31.736,10.225,33.425,48.3,13.912,,,,,
NSW,2,New South Wales and Australian Capital Territory,,,,,,ffdi_ndays_exceeding_50_allstats_gwl15_abschangeGWL12_ncra_reg.csv,,,,,,5.476,0.05,5.375,11.9,4.531
